measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Peru,Both,40 to 44,All causes,Number,2011,3894.2752957212942,4163.117117853742,3600.913847626875
Deaths,Peru,Male,45 to 49,All causes,Number,2011,2613.3553052783486,2885.4802563719827,2348.5137255284453
Deaths,Peru,Female,45 to 49,All causes,Number,2011,1969.0318636912289,2169.737167434245,1792.75028040087
Deaths,Peru,Both,45 to 49,All causes,Number,2011,4582.387168969572,4892.895202539995,4244.573896781627
Deaths,Peru,Male,50 to 54,All causes,Number,2011,3124.368041896456,3442.561542311396,2814.2920097672895
Deaths,Peru,Female,50 to 54,All causes,Number,2011,2532.9060744201674,2778.6941777287198,2316.0470796984973
Deaths,Peru,Both,50 to 54,All causes,Number,2011,5657.274116316621,6025.4303618488175,5253.724012070783
Deaths,Peru,Male,55 to 59,All causes,Number,2011,3687.6363421286046,4043.9592479929247,3338.6904847153005
Deaths,Peru,Female,55 to 59,All causes,Number,2011,2972.5117207548783,3254.3244056608933,2723.297865946135
Deaths,Peru,Both,55 to 59,All causes,Number,2011,6660.148062883487,7079.180675279906,6204.190982280492
Deaths,Peru,Male,60 to 64,All causes,Number,2011,4349.2655143623115,4738.065202304047,3965.158154712063
Deaths,Peru,Female,60 to 64,All causes,Number,2011,3565.3537679361466,3892.848429899245,3274.772285121211
Deaths,Peru,Both,60 to 64,All causes,Number,2011,7914.619282298451,8384.931179750385,7406.594672877523
Deaths,Peru,Male,65 to 69,All causes,Number,2011,5262.113318302638,5723.703691344892,4804.842529062395
Deaths,Peru,Female,65 to 69,All causes,Number,2011,4187.605280762089,4580.795468854497,3839.1520778032486
Deaths,Peru,Both,65 to 69,All causes,Number,2011,9449.718599064716,10010.78166323345,8844.024943316916
Deaths,Peru,Male,70 to 74,All causes,Number,2011,6392.537648123045,6952.750005780268,5837.238238718667
Deaths,Peru,Female,70 to 74,All causes,Number,2011,5291.0674791073925,5803.74525963501,4837.906589692938
Deaths,Peru,Both,70 to 74,All causes,Number,2011,11683.605127230436,12386.041638953147,10929.329052241548
Deaths,Peru,Male,75 to 79,All causes,Number,2011,7740.049729679809,8400.557549246982,7084.672887068578
Deaths,Peru,Female,75 to 79,All causes,Number,2011,6488.254633574809,7104.6210532417745,5944.28946553744
