location,sex,age,cause,metric,year,val,upper,lower
Peru,Male,Post Neonatal,All causes,Number,2010,2922.173653,3432.488286,2455.343226
Peru,Female,Post Neonatal,All causes,Number,2010,2135.080693,2499.245738,1792.819987
Peru,Both,Post Neonatal,All causes,Number,2010,5057.254346,5922.609295,4318.988192
Peru,Male,1 to 4,All causes,Number,2010,1524.131159,1900.634408,1215.480934
Peru,Female,1 to 4,All causes,Number,2010,1195.525524,1480.184795,958.8923394
Peru,Both,1 to 4,All causes,Number,2010,2719.656683,3389.803352,2185.63525
Peru,Male,5 to 9,All causes,Number,2010,789.7406912,854.2279505,729.2458027
Peru,Female,5 to 9,All causes,Number,2010,564.9099414,606.5061147,522.2464581
Peru,Both,5 to 9,All causes,Number,2010,1354.650633,1462.379794,1253.77181
Peru,Male,10 to 14,All causes,Number,2010,680.4787292,718.6152416,638.1040876
Peru,Female,10 to 14,All causes,Number,2010,522.1013511,553.2301976,490.0470578
Peru,Both,10 to 14,All causes,Number,2010,1202.58008,1264.539682,1140.581397
Peru,Male,15 to 19,All causes,Number,2010,1175.84598,1285.569825,1073.546157
Peru,Female,15 to 19,All causes,Number,2010,756.8536255,821.3579158,694.322517
Peru,Both,15 to 19,All causes,Number,2010,1932.699605,2059.490914,1812.495052
Peru,Male,20 to 24,All causes,Number,2010,1728.064509,1894.670426,1575.833993
Peru,Female,20 to 24,All causes,Number,2010,858.5373073,939.3850606,780.0748354
Peru,Both,20 to 24,All causes,Number,2010,2586.601816,2762.814735,2417.09986
Peru,Male,25 to 29,All causes,Number,2010,1948.738141,2126.141093,1785.983586
Peru,Female,25 to 29,All causes,Number,2010,888.420929,979.0334238,801.6994299
Peru,Both,25 to 29,All causes,Number,2010,2837.15907,3023.376949,2653.733114
Peru,Male,30 to 34,All causes,Number,2010,1990.015537,2173.806489,1821.539632
Peru,Female,30 to 34,All causes,Number,2010,1021.176157,1126.253192,920.1079012
Peru,Both,30 to 34,All causes,Number,2010,3011.191695,3206.193412,2815.898519
Peru,Male,35 to 39,All causes,Number,2010,2103.463732,2319.534445,1906.295013
Peru,Female,35 to 39,All causes,Number,2010,1347.867314,1505.506793,1201.106591
Peru,Both,35 to 39,All causes,Number,2010,3451.331046,3709.390607,3207.554995
Peru,Male,40 to 44,All causes,Number,2010,2329.168471,2577.319092,2103.343654
Peru,Female,40 to 44,All causes,Number,2010,1619.143242,1795.079832,1454.111685
Peru,Both,40 to 44,All causes,Number,2010,3948.311713,4239.750128,3671.065004
Peru,Male,45 to 49,All causes,Number,2010,2726.429026,3022.066475,2457.680934
Peru,Female,45 to 49,All causes,Number,2010,2006.711839,2209.024429,1815.553756
Peru,Both,45 to 49,All causes,Number,2010,4733.140864,5073.47665,4406.596455
Peru,Male,50 to 54,All causes,Number,2010,3173.072562,3509.510676,2866.573537
Peru,Female,50 to 54,All causes,Number,2010,2546.701441,2790.872585,2314.89863
Peru,Both,50 to 54,All causes,Number,2010,5719.774003,6120.892337,5337.739985
Peru,Male,55 to 59,All causes,Number,2010,3655.968294,4023.601539,3319.524026
Peru,Female,55 to 59,All causes,Number,2010,3013.609388,3295.786325,2745.224245
Peru,Both,55 to 59,All causes,Number,2010,6669.577682,7123.312429,6241.478789
Peru,Male,60 to 64,All causes,Number,2010,4445.950299,4859.861015,4064.834853
Peru,Female,60 to 64,All causes,Number,2010,3564.99176,3888.794927,3256.895153
Peru,Both,60 to 64,All causes,Number,2010,8010.942059,8528.727331,7524.184567
Peru,Male,65 to 69,All causes,Number,2010,5176.269245,5649.481661,4739.69001
Peru,Female,65 to 69,All causes,Number,2010,4179.572263,4567.641,3810.762009
Peru,Both,65 to 69,All causes,Number,2010,9355.841508,9955.047698,8787.76809
Peru,Male,70 to 74,All causes,Number,2010,6425.496788,7010.869741,5884.702717
Peru,Female,70 to 74,All causes,Number,2010,5347.116417,5858.646601,4861.533187
Peru,Both,70 to 74,All causes,Number,2010,11772.61321,12520.43161,11049.43878
Peru,Male,75 to 79,All causes,Number,2010,7714.905178,8398.945043,7081.155188
Peru,Female,75 to 79,All causes,Number,2010,6654.104783,7276.813015,6061.971971
Peru,Both,75 to 79,All causes,Number,2010,14369.00996,15263.42895,13506.63806
Peru,Male,80 plus,All causes,Number,2010,19585.29672,20876.64803,18375.56743
Peru,Female,80 plus,All causes,Number,2010,21371.49757,22859.1486,19944.40437
Peru,Both,80 plus,All causes,Number,2010,40956.7943,42843.675,39087.69948
Peru,Male,All Ages,All causes,Number,2010,74424.44823,79686.78418,69333.03224
Peru,Female,All Ages,All causes,Number,2010,62743.38057,67499.53086,58105.6248
Peru,Both,All Ages,All causes,Number,2010,137167.8288,144446.1509,130270.3495
Peru,Male,5-14 years,All causes,Number,2010,1470.21942,1568.659477,1372.433112
Peru,Female,5-14 years,All causes,Number,2010,1087.011292,1155.638067,1021.905215
Peru,Both,5-14 years,All causes,Number,2010,2557.230713,2714.097437,2400.886626
Peru,Male,15-49 years,All causes,Number,2010,14001.7254,15399.14321,12725.6502
Peru,Female,15-49 years,All causes,Number,2010,8498.710414,9390.104141,7657.942828
Peru,Both,15-49 years,All causes,Number,2010,22500.43581,24040.58765,20965.82027
Peru,Male,50-69 years,All causes,Number,2010,16451.2604,18042.45489,14990.62243
Peru,Female,50-69 years,All causes,Number,2010,13304.87485,14543.09484,12127.78004
Peru,Both,50-69 years,All causes,Number,2010,29756.13525,31738.13092,27890.93406
Peru,Male,70+ years,All causes,Number,2010,33725.69869,36286.98223,31336.01056
Peru,Female,70+ years,All causes,Number,2010,33372.71877,35989.71471,30869.79039
Peru,Both,70+ years,All causes,Number,2010,67098.41747,70605.81212,63641.55526
Peru,Male,<1 year,All causes,Number,2010,7251.413166,8112.832049,6468.109159
